Dataset Name,Use For,URL,Total Records,Time Period,Exact Columns,Maps To Canonical,Format,Special Notes
UCI Online Retail Dataset,"transactions, products, customers",https://archive.ics.uci.edu/dataset/352/online+retail,"541,909 transactions",Dec 2010 - Dec 2011,"InvoiceNo, StockCode, Description, Quantity, InvoiceDate, UnitPrice, CustomerID, Country","transactions: (id→InvoiceNo, date→InvoiceDate, product_id→StockCode, quantity→Quantity, unit_price→UnitPrice, customer_id→CustomerID); products: (id→StockCode, name→Description, unit_price→UnitPrice); customers: (id→CustomerID, name→Country)",CSV/Excel,"Contains cancellations (InvoiceNo starting with 'C'), multi-country data"
Instacart Market Basket Analysis,"transactions, products, customers",https://www.kaggle.com/datasets/psparks/instacart-market-basket-analysis,"3+ million orders, 200k+ users",Historical grocery orders,"orders.csv: (order_id, user_id, order_number, order_dow, order_hour_of_day, days_since_prior_order); products.csv: (product_id, product_name, aisle_id, department_id); order_products.csv: (order_id, product_id, add_to_cart_order, reordered)","transactions: (id→order_id, customer_id→user_id, date→constructed from order_dow/hour); products: (id→product_id, name→product_name, category→department_id); RFM: (recency→days_since_prior_order, frequency→order_number)",Multiple CSV files,"Perfect for RFM analysis, market basket analysis, reorder prediction"
M5 Walmart Sales Forecasting,"transactions, products, forecasts, holidays_calendar, promotions",https://www.kaggle.com/competitions/m5-forecasting-accuracy,"30,490 products × 1,913 days",Jan 2011 - Jun 2016,"sales_train.csv: (item_id, dept_id, cat_id, store_id, state_id, d_1...d_1913); calendar.csv: (date, wm_yr_wk, weekday, wday, month, year, event_name_1, event_type_1, snap_CA/TX/WI); sell_prices.csv: (store_id, item_id, wm_yr_wk, sell_price)","transactions: (product_id→item_id, quantity→d_X values, date→calendar.date); products: (id→item_id, category→cat_id); holidays_calendar: (date, event_name→event_name_1, type→event_type_1); price_changes: (product_id→item_id, price→sell_price)",CSV,"Hierarchical time series (state/store/category/dept/item), SNAP benefits data, promotional events"
Rossmann Store Sales,"transactions, businesses, promotions",https://www.kaggle.com/competitions/rossmann-store-sales,"1,115 stores, ~3 years data",2013-2015,"train.csv: (Store, DayOfWeek, Date, Sales, Customers, Open, Promo, StateHoliday, SchoolHoliday); store.csv: (Store, StoreType, Assortment, CompetitionDistance, CompetitionOpenSince[Month/Year], Promo2, Promo2Since[Year/Week], PromoInterval)","transactions: (business_id→Store, date→Date, total_amount→Sales, quantity→Customers); businesses: (id→Store, type→StoreType); promotions: (business_id→Store, promo_type→Promo/Promo2, metadata→PromoInterval)",CSV,"Competition distance data, multi-store chain, promotional intervals"
Hotel Booking Demand,"customers, transactions (bookings), churn prediction",https://www.kaggle.com/datasets/jessemostipak/hotel-booking-demand,"119,390 bookings",July 2015 - Aug 2017,"hotel, is_canceled, lead_time, arrival_date_year/month/day_of_month, stays_in_weekend_nights, stays_in_week_nights, adults, children, babies, meal, country, market_segment, distribution_channel, is_repeated_guest, previous_cancellations, previous_bookings_not_canceled, reserved_room_type, assigned_room_type, booking_changes, deposit_type, agent, company, days_in_waiting_list, customer_type, adr, required_car_parking_spaces, total_of_special_requests, reservation_status, reservation_status_date","customers: (id→guest identifier, purchase_count→previous_bookings_not_canceled, is_repeated_guest); transactions: (date→arrival_date, total_amount→adr×nights); customer_churn: (churned→is_canceled, lead_time, previous_cancellations)",CSV,"Perfect for churn/cancellation prediction, customer segmentation, RFM on booking patterns"
Supply Chain Inventory Dataset,"product_inventory_events, suppliers, products",https://www.kaggle.com/datasets/amirmotefaker/supply-chain-dataset,Varies by implementation,Configurable,"Product type, SKU, Price, Availability, Number of products sold, Revenue generated, Customer demographics, Stock levels, Lead times, Order quantities, Shipping times, Shipping carriers, Shipping costs, Supplier name, Location, Lead time, Production volumes, Manufacturing lead time, Manufacturing costs, Inspection results, Defect rates, Transportation modes, Routes, Costs","product_inventory_events: (product_id→SKU, quantity→Stock levels, event_type→order/shipment); suppliers: (id→Supplier name, lead_time_days→Lead time); products: (id→SKU, name→Product type, current_stock→Stock levels)",CSV,"End-to-end supply chain, includes logistics and quality control data"
E-Commerce Transactions Dataset,"payment_events, transactions",https://www.kaggle.com/datasets/smayanj/e-commerce-transactions-dataset,"50,000 transactions",Synthetic,"TransactionID, CustomerID, CustomerName, CustomerEmail, CustomerAddress, ProductID, ProductName, ProductCategory, Quantity, Price, TotalAmount, PaymentMethod, PaymentStatus, TransactionDate, ShippingAddress, ShippingMethod, OrderStatus","transactions: (id→TransactionID, customer_id→CustomerID, product_id→ProductID, quantity→Quantity, unit_price→Price, total_amount→TotalAmount, payment_method→PaymentMethod, date→TransactionDate); payment_events: (transaction_id→TransactionID, payment_method→PaymentMethod, status→PaymentStatus)",CSV,"Complete e-commerce flow, multiple payment methods, order status tracking"
Credit Card Fraud Detection,"payment_events, fraud detection, audit_logs",https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud,"284,807 transactions",2 days in Sept 2013,"Time, V1-V28 (PCA components), Amount, Class (0=legitimate, 1=fraud)","payment_events: (amount→Amount, status→Class, payment_date→Time); audit_logs: (action→transaction, metadata→V1-V28 features)",CSV,"Highly imbalanced (0.172% fraud), PCA-transformed features for privacy"
Grocery Inventory and Sales Dataset,"products, product_inventory_events, suppliers",https://www.kaggle.com/datasets/salahuddinahmedshuvo/grocery-inventory-and-sales-dataset,Varies,Ongoing,"Product ID, Product Name, Category, Unit, Quantity in Stock, Reorder Level, Supplier Name, Supplier Contact, Unit Cost, Selling Price, Expiry Date, Last Restocked Date, Sales Volume, Revenue","products: (id→Product ID, name→Product Name, category→Category, unit_of_measure→Unit, current_stock→Quantity in Stock, reorder_point→Reorder Level, unit_price→Selling Price, supplier_id→Supplier Name); product_inventory_events: (product_id→Product ID, quantity→Sales Volume, timestamp→Last Restocked Date)",CSV,"Includes reorder levels, expiry dates, supplier contacts"
Store Sales - Time Series Forecasting,"transactions, forecasts, holidays_calendar, products",https://www.kaggle.com/c/store-sales-time-series-forecasting,Thousands of product families,2013-2017,"train.csv: (id, date, store_nbr, family, sales, onpromotion); stores.csv: (store_nbr, city, state, type, cluster); oil.csv: (date, dcoilwtico); holidays_events.csv: (date, type, locale, locale_name, description, transferred)","transactions: (id, date, product_id→family, quantity→sales); forecasts: (product_id→family, forecast_date→date, predicted_demand→sales); holidays_calendar: (date, event_name→description, type, region→locale_name); businesses: (id→store_nbr, type, location→city/state)",CSV,"Ecuador stores, oil prices as external regressor, transferred holidays, earthquake impact"
